=== 文章 27 摘要開始 ===

七、關係人交易
(一) 關係人之名稱及與本集團之關係
- 關係人名稱包含：Toyota Industries Corporation、Toyota Motor Asia Pacific Pte Ltd.、Toyota South Africa Motors (Pty) Ltd.、Toyota-Motor-Europe-Nv/Sa、Toyota-Motor-Sales-USA、Toyota Daihatsu Engineering & Manufacturing Co., Ltd.、三興(上海)企業管理諮詢有限公司、三興資訊股份有限公司、日本日野自動車工業株式會社、日本豐田自動車株式會社、和全保險代理人股份有限公司、和安保險代理人股份有限公司、和裕投資股份有限公司、豐田汽車中國投資有限公司、大全彩藝工業股份有限公司、中揚汽車股份有限公司、北京和凌雷克薩斯汽車銷售服務有限公司、北京和裕豐田汽車銷售服務有限公司、躍川興業股份有限公司、台灣橫濱輪胎股份有限公司、旭和螺絲工業股份有限公司、快順倉儲交通股份有限公司、旺孚企業有限公司、南一汽車配件股份有限公司、重慶渝都豐田汽車服務有限公司、重慶渝潤汽車服務有限公司、重慶泰康和凌雷克薩斯汽車銷售服務有限公司、太原中都和凌雷克薩斯汽車銷售服務有限公司、晉中中部豐田汽車銷售服務有限公司、泰州中都雷克薩斯汽車銷售服務有限公司、通太資產管理股份有限公司、通友汽車材料股份有限公司、創新汽車零配件股份有限公司、廣州廣汽商貿長和汽車科技有限公司、臨沂和凌雷克薩斯汽車銷售服務有限公司、日東精密螺絲工業(浙江)有限公司、天津永達信通科技有限公司、政仁能源股份有限公司、臨沂和裕豐田汽車銷售服務有限公司、天津濱海新區和凌雷克薩斯汽車服務有限公司、國瑞汽車股份有限公司、國都汽車股份有限公司、北都汽車股份有限公司、桃苗汽車股份有限公司、中部汽車股份有限公司、南都汽車股份有限公司、高都汽車股份有限公司、蘭揚汽車股份有限公司、和誠汽車零配件股份有限公司、和昭實業股份有限公司、和航汽車股份有限公司、和榮汽車股份有限公司、中誠汽車股份有限公司、恆運投資股份有限公司、泛台貨櫃運輸股份有限公司、益台通運股份有限公司、樺台通運股份有限公司、車隼科技股份有限公司、廣泉機械廠股份有限公司、高輊股份有限公司、桃勁企業有限公司、南天科技股份有限公司、和如股份有限公司、新創汽車零配件股份有限公司、劦興企業股份有限公司、中浩汽車股份有限公司、充壩技術服務股份有限公司、本公司董事、總經理及副總經理等。
- 關係人與本集團之關係包含：主要管理階層控制之個體、關聯企業。

(二) 與關係人間之重大交易事項
1. 收入
- 銷貨收入包含：關聯企業、主要管理階層控制之個體。
- 租金收入包含：關聯企業、主要管理階層控制之個體。
- 勞務收入包含：關聯企業、主要管理階層控制之個體。
- 分期付款價差補貼收入包含：關聯企業。
- 保固收入包含：關聯企業、主要管理階層控制之個體。
- 廣告補助收入及販促物收入包含：關聯企業、主要管理階層控制之個體。
- 什項收入包含：關聯企業、主要管理階層控制之個體。
2. 支出
- 商品購買包含：關聯企業、主要管理階層控制之個體。
- 保固成本包含：關聯企業、主要管理階層控制之個體。
- 運費包含：關聯企業。
- 佣金費用包含：主要管理階層控制之個體。
- 其他包含：關聯企業。
3. 應收(付)關係人款項
- 應收關係人款項包含：關聯企業、主要管理階層控制之個體。
- 其他應收關係人款項包含：關聯企業、主要管理階層控制之個體。
- 應付帳款包含：關聯企業、主要管理階層控制之個體。
- 應付費用及其他應付款包含：關聯企業、主要管理階層控制之個體。
- 應付佣金包含：主要管理階層控制之個體。
4. 預付貨款
- 主要管理階層控制之個體
5. 財產交易
- 購置出租資產及設備包含：關聯企業、主要管理階層控制之個體。
6. 租賃交易 - 承租人
- 本集團依一般市場行情與關係人簽訂租賃合約，並依合約按月支付租金。
7. 資金貸與關係人
- 對關係人放款包含：關聯企業。
(三) 主要管理階層薪酬資訊
- 薪資及其他短期員工福利

=== 文章 27 摘要結束 ===
