=== 文章 424 摘要開始 ===

本公司財報時間資訊為民國111年3月31日、民國110年12月31日、民國110年3月31日，對應西元2022年3月31日、西元2021年12月31日、西元2021年3月31日。

**一、重要會計項目說明**
**(一) 現金及約當現金**
- 包括庫存現金及週轉金、支票存款及活期存款、定期存款及其他。
**(二) 透過損益按公允價值衡量之金融資產及負債**
- 包含上市(櫃)股票、未上市(櫃)股票、受益憑證、衍生工具及混合工具。
- 混合工具為非上市櫃公司V-NET AAEON之股票及嵌入式選擇權之混合合約，該選擇權為本集團及V-NET AAEON原持股股東有權利以原始交易價格賣回/買回該部分股權。
**(三) 透過其他綜合損益按公允價值衡量之金融資產**
- 包含上市(櫃)股票及未上市(櫃)股票。
- 本集團選擇將屬策略性投資及為穩定收取股利之上述各項投資分類為透過其他綜合損益按公允價值衡量之金融資產。
**(四) 按攤銷後成本衡量之金融資產**
- 包含原始到期日逾三個月以上之定期存款及公司債。
**(五) 避險之金融資產及負債**
- 包含現金流量避險-遠期外匯合約。
- 本集團簽訂遠期外匯合約以管理預期於未來期間發生之銷售交易所產生外幣部位匯率風險。
**(六) 應收票據及帳款**
- 包含應收票據及應收帳款，減：備抵損失。
**(七) 金融資產及金融負債之互抵**
- 本集團對部分公司有資產及負債，該等資產及負債符合國際會計準則第32號第42段之互抵條件，以抵銷後淨額帳列應收帳款及應付票據及帳款。
**(八) 存貨**
- 包含原料、在製品、製成品、商品存貨及在途存貨。
**(九) 採用權益法之投資**
- 包含關聯企業。
- 本集團之關聯企業均不具重大性，且對其所享有份額之彙總財務資訊如下：
- 本集團之關聯企業有公開報價者，其公允價值如下：
**(十) 不動產、廠房及設備**
- 包含土地、房屋及建築、機器設備、雜項設備及待驗設備。
**(十一) 租賃交易-承租人**
- 本集團租賃之標的資產包括房屋及建築、機器設備、運輸設備、雜項設備及土地使用權等。
**(十二) 無形資產**
- 包含商標權、電腦軟體、商譽及其他。
**(十三) 短期借款**
- 包含銀行借款、擔保借款及信用借款。
**(十四) 長期借款**
- 包含長期銀行借款、擔保借款。
**(十五) 退休金**
- 包含確定福利計畫及確定提撥計畫。
**(十六) 負債準備**
- 包含保固準備及訴訟及權利金準備。
- 本集團之保固準備主係與3C資訊產品之銷售相關，係依據該產品之歷史保固資料評估。
- 本集團因專利權人提出法律索償或權利金支付，管理當局聽取適當法律意見後，評估此項償付最可能之結果而提列負債準備金。
**(十七) 退款負債**
- 本集團之退款負債主係與3C資訊產品之銷售相關，係依據該產品之歷史經驗及其他已知原因估計。
**(十八) 股本**
- 截止至民國111年3月31日止，本公司額定資本額為$47,500,000，股數為4,750,000仟股(其中50,000仟股係預留供發行員工認股權憑證使用)，實收資本額為$7,427,603，每股面額10元。
- 本公司已發行股份之股款均已收訖。
- 本公司民國111年及110年1至3月，普通股期初與期末流通在外股數均為742,760,280股。
- 截止至民國111年3月31日止，本公司發行之海外存託憑證共計3,937仟單位，於盧森堡證券交易所掛牌買賣，每單位存託憑證代表5股普通股，共代表普通股19,685仟股。
**(十九) 資本公積**
- 依公司法規定，超過票面金額發行股票所得之溢額及受領贈與之所得之資本公積，除得用於彌補虧損外，於公司無累積虧損時，按股東原有股份之比率發給新股或現金。
**(二十) 保留盈餘**
- 本公司盈餘分配政策如下：依本公司章程規定，本公司年度決算之本期稅後淨利，應先彌補累積虧損，次提10%為法定盈餘公積。
- 本公司股利政策如下：考量本公司所處產業環境多變，長期財務規劃及滿足股東對現金流入之需求，每年發放之現金股利不得低於股利總額之10%。
**(二十一) 其他權益**
- 包含透過其他綜合損益按公允價值衡量之金融資產未實現利益、避險工具之損益及國外營運機構財務報表換算之兌換差額。
**(二十二) 營業收入**
- 本集團之收入源於提供隨時間逐步移轉及於某一時點移轉之商品及勞務，收入可細分為下列主要產品線：
- 合約負債如下：
**(二十三) 其他收入**
- 包含租金收入及股利收入。
**(二十四) 其他(損失)利益**
- 包含淨外幣兌換(損)益、衍生金融商品之淨(損)益、非衍生金融商品之淨(損)益、處分不動產、廠房及設備(損)益、處分投資(損)益及其他淨(損)益。
**(二十五) 成本及費用性質之額外資訊**
- 包含折舊費用、攤銷費用及員工福利費用。
**(二十六) 員工福利費用**
- 包含薪資費用、勞健保費用、退休金費用及其他用人費用。
- 係包含確定提撥計畫及確定福利計畫下所認列之所有退休金費用。
- 依本公司章程規定，本公司年度之獲利，應預先保留用以彌補累積虧損數額，再就其餘額提撥不低於1%為員工酬勞及不高於1%為董事酬勞。
**(二十七) 所得稅**
- 包含所得稅費用。
- 本公司營利事業所得稅業經稅捐稽徵機關核定至民國108年度。
**(二十八) 每股盈餘**
- 包含基本每股盈餘及稀釋每股盈餘。
**(二十九) 來自籌資活動之負債變動**
- 包含短期借款及租賃負債。

=== 文章 424 摘要結束 ===
