=== 文章 426 摘要開始 ===

鴻海精密工業股份有限公司及其子公司合併現金流量表，民國112年及111年1月1日至9月30日 (西元2023年及2022年)，單位：新台幣仟元。

**營業活動之現金流量**

* 本期稅前淨利
* 調整項目：折舊費用、攤銷費用、股份基礎給付酬勞成本、預期信用減損損失、減損損失、處分不動產、廠房及設備利益、透過損益按公允價值衡量金融資產及負債之淨損失、採用權益法認列之關聯企業及合資損益之份額、處分投資利益、利息費用、利息收入、股利收入、租賃修改利益、處分無形資產損失
* 與營業活動相關之資產/負債變動數
* 營運產生之現金流入
* 支付之所得稅
* 營運活動之淨現金流入

**投資活動之現金流量**

* (取得)處分按攤銷後成本衡量之金融資產
* 取得透過其他綜合損益按公允價值衡量之金融資產
* 其他應收款減少
* 取得子公司之淨現金
* 處分子公司之淨現金流入
* 取得採用權益法之投資
* 處分採用權益法之投資
* 採用權益法之投資退回股款
* 取得不動產、廠房及設備
* 處分不動產、廠房及設備
* 取得投資性不動產
* 處分投資性不動產
* 取得使用權資產
* 取得無形資產
* 處分無形資產
* 其他非流動資產增加
* 收取之股利
* 收取之利息
* 其他投資活動
* 投資活動之淨現金流出

**籌資活動之現金流量**

* 短期借款(減少)增加
* 應付短期票券增加
* 發行公司債
* 償還公司債
* 舉借長期借款
* 償還長期借款
* 其他非流動負債增加(減少)
* 租賃本金償還
* 其他非控制權益變動
* 發放非控制權益現金股利
* 支付之利息
* 發放現金股利
* 籌資活動之淨現金(流出)流入

**匯率變動對現金及約當現金之影響**
**本期現金及約當現金增加數**
**期初現金及約當現金餘額**
**期末現金及約當現金餘額**

=== 文章 426 摘要結束 ===
