=== 文章 526 摘要開始 ===

## 112 年 9 月 30 日  (西元 2023 年) 合併財務報表摘要

**一、 現金及約當現金**
- 112 年 9 月 30 日  (西元 2023 年) 現金及約當現金餘額為 $25,201,736 
- 111 年 12 月 31 日  (西元 2022 年) 現金及約當現金餘額為 $29,197,614 
- 111 年 9 月 30 日  (西元 2022 年) 現金及約當現金餘額為 $29,197,614 

**二、 透過損益按公允價值衡量之金融工具**
- 112 年 9 月 30 日  (西元 2023 年) 金融資產包含基金受益憑證、上市（櫃）股票、興櫃股票、可轉換公司債、遠期外匯合約及期貨合約
- 111 年 12 月 31 日  (西元 2022 年) 金融資產包含基金受益憑證、上市（櫃）股票、興櫃股票、可轉換公司債、遠期外匯合約及期貨合約
- 111 年 9 月 30 日  (西元 2022 年) 金融資產包含基金受益憑證、上市（櫃）股票、興櫃股票、可轉換公司債、遠期外匯合約及期貨合約

**三、 透過其他綜合損益按公允價值衡量之金融資產**
- 112 年 9 月 30 日  (西元 2023 年) 金融資產包含國內外上市（櫃）股票、興櫃及未上市（櫃）股票及公司債
- 111 年 12 月 31 日  (西元 2022 年) 金融資產包含國內外上市（櫃）股票、興櫃及未上市（櫃）股票及公司債
- 111 年 9 月 30 日  (西元 2022 年) 金融資產包含國內外上市（櫃）股票、興櫃及未上市（櫃）股票及公司債

**四、 避險之金融工具**
- 112 年 9 月 30 日  (西元 2023 年) 金融工具包含避險之外幣存款、遠期外匯合約及期貨合約，以及避險之銀行借款 
- 111 年 12 月 31 日  (西元 2022 年) 金融工具包含避險之外幣存款、遠期外匯合約及期貨合約，以及避險之銀行借款 
- 111 年 9 月 30 日  (西元 2022 年) 金融工具包含避險之外幣存款、遠期外匯合約及期貨合約，以及避險之銀行借款 

**五、 應收票據及帳款淨額（含關係人）**
- 112 年 9 月 30 日  (西元 2023 年) 應收票據及帳款淨額為 $13,183,871
- 111 年 12 月 31 日  (西元 2022 年) 應收票據及帳款淨額為 $13,336,243
- 111 年 9 月 30 日  (西元 2022 年) 應收票據及帳款淨額為 $15,672,057

**六、 存貨**
- 112 年 9 月 30 日  (西元 2023 年) 存貨包含在製品、製成品、原料、物料、在途存貨、待售及在建房地、營建用土地
- 111 年 12 月 31 日  (西元 2022 年) 存貨包含在製品、製成品、原料、物料、在途存貨、待售及在建房地、營建用土地
- 111 年 9 月 30 日  (西元 2022 年) 存貨包含在製品、製成品、原料、物料、在途存貨、待售及在建房地、營建用土地

**七、 採用權益法之投資**
- 112 年 9 月 30 日  (西元 2023 年) 採用權益法之投資包含具重大性之關聯企業 9404-5515 Québec Inc. 及個別不重大之關聯企業
- 111 年 12 月 31 日  (西元 2022 年) 採用權益法之投資包含具重大性之關聯企業 9404-5515 Québec Inc. 及個別不重大之關聯企業
- 111 年 9 月 30 日  (西元 2022 年) 採用權益法之投資包含具重大性之關聯企業 9404-5515 Québec Inc. 及個別不重大之關聯企業

**八、 其他金融資產**
- 112 年 9 月 30 日  (西元 2023 年) 其他金融資產包含質押定期存款、質押活期存款、專案存款、質押應收款 
- 111 年 12 月 31 日  (西元 2022 年) 其他金融資產包含質押定期存款、質押活期存款、專案存款、質押應收款 
- 111 年 9 月 30 日  (西元 2022 年) 其他金融資產包含質押定期存款、質押活期存款、專案存款、質押應收款 

**九、 不動產、廠房及設備**
- 112 年 9 月 30 日  (西元 2023 年) 不動產、廠房及設備包含土地改良物、房屋及建築、機器設備、運輸設備及其他設備
- 111 年 12 月 31 日  (西元 2022 年) 不動產、廠房及設備包含土地改良物、房屋及建築、機器設備、運輸設備及其他設備
- 111 年 9 月 30 日  (西元 2022 年) 不動產、廠房及設備包含土地改良物、房屋及建築、機器設備、運輸設備及其他設備

**十、 租賃協議**
- 112 年 9 月 30 日  (西元 2023 年) 租賃協議包含使用權資產及租賃負債，以及其他租賃資訊
- 111 年 12 月 31 日  (西元 2022 年) 租賃協議包含使用權資產及租賃負債，以及其他租賃資訊
- 111 年 9 月 30 日  (西元 2022 年) 租賃協議包含使用權資產及租賃負債，以及其他租賃資訊

**十一、 投資性不動產**
- 112 年 9 月 30 日  (西元 2023 年) 投資性不動產包含土地及房屋及建築
- 111 年 12 月 31 日  (西元 2022 年) 投資性不動產包含土地及房屋及建築
- 111 年 9 月 30 日  (西元 2022 年) 投資性不動產包含土地及房屋及建築

**十二、 借款**
- 112 年 9 月 30 日  (西元 2023 年) 借款包含短期借款及銀行透支、應付短期票券、銀行長期借款及長期應付票券
- 111 年 12 月 31 日  (西元 2022 年) 借款包含短期借款及銀行透支、應付短期票券、銀行長期借款及長期應付票券
- 111 年 9 月 30 日  (西元 2022 年) 借款包含短期借款及銀行透支、應付短期票券、銀行長期借款及長期應付票券

**十三、 應付公司債**
- 112 年 9 月 30 日  (西元 2023 年) 應付公司債包含國內無擔保普通公司債及國內有擔保轉換公司債
- 111 年 12 月 31 日  (西元 2022 年) 應付公司債包含國內無擔保普通公司債及國內有擔保轉換公司債
- 111 年 9 月 30 日  (西元 2022 年) 應付公司債包含國內無擔保普通公司債及國內有擔保轉換公司債

**十四、 應付帳款（含關係人）**
- 112 年 9 月 30 日  (西元 2023 年) 應付帳款包含建造合約之應付工程保留款
