=== 文章 557 摘要開始 ===

鴻海精密工業股份有限公司及子公司合併資產負債表，民國112年3月31日及111年12月31日、3月31日 (民國112年及111年3月31日之合併資產負債表僅經核閱，未依審計準則查核) 

**資產**
* 流動資產
    * 現金及約當現金
    * 透過損益按公允價值衡量之金融資產－流動
    * 透過其他綜合損益按公允價值衡量之金融資產－流動
    * 按攤銷後成本衡量之金融資產－流動
    * 避險之金融資產－流動
    * 應收帳款淨額
    * 應收帳款－關係人淨額
    * 其他應收款
    * 其他應收款－關係人
    * 存貨
    * 預付款項
    * 其他流動資產
* 非流動資產
    * 透過損益按公允價值衡量之金融資產－非流動
    * 透過其他綜合損益按公允價值衡量之金融資產－非流動
    * 按攤銷後成本衡量之金融資產－非流動
    * 採用權益法之投資
    * 不動產、廠房及設備
    * 使用權資產
    * 投資性不動產淨額
    * 無形資產
    * 遞延所得稅資產
    * 其他非流動資產

**負債及權益**
* 流動負債
    * 短期借款
    * 應付短期票券
    * 透過損益按公允價值衡量之金融負債－流動
    * 避險之金融負債－流動
    * 應付帳款
    * 應付帳款－關係人
    * 其他應付款
    * 本期所得稅負債
    * 負債準備－流動
    * 租賃負債－流動
    * 一年或一營業週期內到期長期負債
    * 其他流動負債－其他
* 非流動負債
    * 應付公司債
    * 長期借款
    * 負債準備－非流動
    * 遞延所得稅負債
    * 租賃負債－非流動
    * 其他非流動負債
* 權益
    * 歸屬於母公司業主之權益
        * 股本
            * 普通股股本
        * 資本公積
        * 保留盈餘
        * 法定盈餘公積
        * 特別盈餘公積
        * 未分配盈餘
        * 其他權益
            * 其他權益
            * 庫藏股票
    * 非控制權益

董事長 :劉揚偉
經理人：劉揚偉
會計主管：周宗愷

=== 文章 557 摘要結束 ===
