=== 文章 133 摘要開始 ===

## 保單內容摘要

**保單週年（月）日給付**

* 一仟元（含）以上之保單週年（月）日給付，或至被保險人身故、完全失能、保險期間屆滿或本契約終止時，本公司應主動一併給付。
* 要保人如未選擇增值回饋分享金給付週期，則依「年給付」方式辦理。

**儲存生息**

* 自第七保單年度起，增值回饋分享金將按各保單年度期初當月之宣告利率，以年複利方式儲存生息至要保人請求時給付。
* 要保人請求給付之金額需達一仟元（含）以上，或至被保險人身故、完全失能、保險期間屆滿或本契約終止時，本公司應主動一併給付。

**增值回饋分享金給付**

* 增值回饋分享金選擇以儲存生息方式給付者，本公司於給付「身故保險金」或「喪葬費用保險金」、「完全失能保險金」、「祝壽保險金」時，一併將當時已累積之增值回饋分享金給付予該保險金受益人。
* 於要保人請求或本契約因第八條第十項、第十條之約定終止或有第二十三條第一項各款約定之情形時，則給付予要保人或應得之人。
* 於本契約有效期間內，被保險人保險年齡到達十六歲之保單週年日前，其增值回饋分享金採抵繳應繳保險費方式。
* 被保險人於本契約有效期間內且保險年齡到達十六歲之保單週年日前身故或致成完全失能，本公司應退還或給付依本條第一項第四款儲存生息方式累計之增值回饋分享金。

**變更增值回饋分享金給付方式**

* 要保人得於本契約有效期間內，每一保單週年日前後十日內以書面或其他約定方式通知本公司變更增值回饋分享金給付方式或給付週期。
* 前述變更以該保單週年日為生效日，本公司依變更後之方式及週期給付其後之增值回饋分享金。
* 要保人如未選擇增值回饋分享金給付方式，本公司應以書面或其他約定方式通知要保人限期選擇，逾期不選擇者，增值回饋分享金依本條第一項第二款以繳清保險方式增加保險金額辦理。

**保險事故的通知與保險金的申請時間**

* 要保人或受益人應於知悉本公司應負保險責任之事故後十日內通知本公司，並於通知後儘速檢具所需文件向本公司申請給付保險金。
* 本公司應於收齊前項文件後十五日內給付之。

**失蹤處理**

* 被保險人在本契約有效期間內失蹤者，如經法院宣告死亡時，本公司根據判決內所確定死亡時日為準，依第十四條約定給付「身故保險金」或「喪葬費用保險金」。
* 如要保人或受益人能提出證明文件，足以認為被保險人極可能因意外傷害事故而死亡者，本公司應依意外傷害事故發生日為準，依第十四條約定給付「身故保險金」或「喪葬費用保險金」。

**保險給付**

* 本契約保險金的給付分為「身故保險金」或「喪葬費用保險金」、「完全失能保險金」、「大眾運輸交通工具意外身故保險金」或「喪葬費用保險金」、「海外意外身故保險金」或「喪葬費用保險金」、「天然災害意外身故保險金」或「喪葬費用保險金」、「祝壽保險金」等六項。
* 「身故保險金」或「喪葬費用保險金」：被保險人於本契約有效期間內身故者，本公司分別以身故當時「基本保險金額」及「累計增加保險金額」對應下列三者之最大值，再依其總和給付「身故保險金」且本契約效力即行終止。


=== 文章 133 摘要結束 ===
