=== 文章 141 摘要開始 ===

南山人壽豐盈保倍美元利率變動型終身壽險（定期給付型）_BYUPL7 保險契約，主要內容包括：

**保險費繳納**
- 保險費繳納方式：分期繳納
- 繳費寬限期間：30 天
- 逾期繳費：停止效力，但寬限期間內發生保險事故仍負保險責任
- 自動墊繳：要保人可選擇以保單價值準備金自動墊繳保險費
- 停止效力：保單價值準備金不足墊繳一日保險費時，契約效力停止

**契約效力恢復**
- 停效後二年內可申請復效
- 停效六個月內申請復效：清償保險費餘額後即可恢復效力
- 停效六個月後申請復效：需提供被保險人之可保證明
- 拒絕復效：被保險人之危險程度有重大變更已達拒絕承保程度時，本公司得拒絕其復效
- 停效期間屆滿前三個月的提醒通知：本公司將以書面、電子郵件、簡訊或其他約定方式擇一通知要保人有行使復效之權利

**告知義務與解除契約**
- 要保人應據實說明告知事項，如隱匿或遺漏不為說明，或為不實的說明，本公司得解除契約
- 解除契約權：自本公司知有解除之原因後，經過一個月不行使而消滅；或自契約訂立後，經過二年不行使而消滅

**契約終止**
- 要保人得隨時終止契約
- 終止契約時，本公司應償付解約金及退還未滿期之純保險費

**分期定期保險金給付**
- 分期定期保險金低於一定金額，本公司將一次給付指定保險金予受益人
- 分期定期保險金給付期間，要保人不得變更或終止契約，且不得以保險契約為質，向本公司借款

**保險事故通知與保險金申請**
- 要保人或受益人應於知悉保險事故後十日內通知本公司，並於通知後儘速檢具所需文件申請給付保險金
- 本公司應於收齊文件後十五日內給付保險金

**失蹤處理**
- 被保險人失蹤，如經法院宣告死亡，本公司根據判決內所確定死亡時日為準，依約定給付「身故保險金」或喪葬費用保險金
- 若能提出證明文件，足以認為被保險人極可能因意外傷害事故而死亡者，本公司應依意外傷害事故發生日為準，依約定給付「身故保險金」或喪葬費用保險金
- 被保險人生還時，要保人或受益人應將已領之「身故保險金」或喪葬費用保險金歸還本公司

**受益人死亡或失蹤**
- 受益人在分期定期保險金給付期間內死亡者，尚未領取的分期定期保險金以第二受益人或法定繼承人為受益人

**其他**
- 本公司應主動退還剩餘之保單價值準備金
- 本公司應按日數比例退還「一年期定期壽險保險金額」對應部分之未滿期純保險費
- 本公司應於接到通知後一個月內償付解約金

=== 文章 141 摘要結束 ===
