=== 文章 202 摘要開始 ===

本契約為南山人壽豐盈滿山美元利率變動型終身壽險（定期給付型），條款內容包含：

**催告通知：**
- 對要保人催告時，也應通知被保險人以確保其權益。
- 通知方式包含書面、電子郵件、簡訊或其他約定方式。

**寬限期間：**
- 繳費逾寬限期間未交付，契約自寬限期間終止翌日起停止效力。
- 寬限期間內發生保險事故，本公司仍負保險責任。

**死亡或失能給付：**
- 被保險人於契約有效期間內身故或致成完全失能，要保人毋需再繳交分期保險費。

**保險費墊繳：**
- 要保人得聲明，分期保險費超過寬限期間未交付時，本公司應以保單價值準備金自動墊繳，使契約繼續有效。
- 要保人亦得於次一墊繳日前通知本公司停止自動墊繳。
- 每次墊繳保險費的本息，本公司應出具憑證交予要保人。
- 保單價值準備金不足墊繳一日保險費且經催告後屆三十日仍不交付時，契約效力停止。

**契約恢復：**
- 契約停止效力後，要保人得在停效日起二年內申請復效。
- 要保人於停效日起六個月內提出復效申請，並清償保險費扣除停效期間的危險保險費後之餘額後，契約恢復效力。
- 要保人於停效日起六個月後提出復效申請，本公司得要求要保人提供被保險人之可保證明。
- 被保險人之危險程度有重大變更已達拒絕承保程度者，本公司得拒絕其復效。
- 本公司未於約定期限內要求要保人提供可保證明，或於收齊可保證明後十五日內不為拒絕者，視為同意復效。
- 契約因第八條第二項或第三十二條約定停止效力而申請復效者，要保人清償保險單借款本息與墊繳保險費及其利息，其未償餘額合計不得逾依第三十二條第一項約定之保險單借款可借金額上限。

**通知提醒：**
- 本公司於保險契約停止效力後至得申請復效之期限屆滿前三個月，將以書面、電子郵件、簡訊或其他約定方式通知要保人有行使申請復效之權利。

=== 文章 202 摘要結束 ===
