=== 文章 212 摘要開始 ===

本文主要討論喪葬費用保險金、完全失能保險金、滿期保險金以及分期定期保險金給付的相關規定。

**喪葬費用保險金**

- 保險金額不得超過遺產及贈與稅法第十七條有關遺產稅喪葬費扣除額之半數。
- 若超過上限，保險公司不負給付責任，並應無息退還超過部分的已繳保險費。
- 若投保多家保險公司，且總金額超過上限，則保險公司會依投保時間先後，依約給付喪葬費用保險金至上限為止。

**完全失能保險金**

- 被保險人於契約有效期間內經醫院醫師診斷確定致成完全失能，保險公司將依完全失能診斷確定時「基本保險金額」及「累計增加保險金額」對應三者之最大值，再依其總和給付「完全失能保險金」且本契約效力即行終止。
- 三者包括「當年度保險金額」、「保單價值準備金乘以「保價係數」」、「躉繳保險費」。

**滿期保險金**

- 被保險人於契約有效期間內，於保險期間屆滿仍生存時，保險公司將分別按「基本保險金額」及「累計增加保險金額」對應二者之最大值，再依其總和給付「滿期保險金」且本契約效力即行終止。
- 二者包括「當年度保險金額」、「躉繳保險費」。

**分期定期保險金給付**

- 保險公司會將指定保險金換算成每年年初應給付之金額，按約定將每期分期定期保險金給付予受益人。
- 分期定期保險金給付期間屆滿時，本契約即行終止。
- 身故保險金扣除指定保險金後，倘有餘額時，應將該餘額給付予各受益人。
- 完全失能保險金扣除被保險人之指定保險金後，倘有餘額時，應將該餘額給付予被保險人。

**分期定期保險金給付申領文件、給付期限及未依期限給付之效果**

- 受益人於分期定期保險金給付期間每年申領所約定之給付時，應提出可資證明受益人生存之文件。
- 受益人身故後仍有尚未領取的分期定期保險金，其法定繼承人申領給付時，應檢具保險單或其謄本以及受益人的死亡證明文件。

=== 文章 212 摘要結束 ===
