=== 文章 243 摘要開始 ===

南山人壽樂活洋溢醫療終身保險_TPHI5  條款重點：

1. 保險契約構成：由條款、附著之要保書、批註及其他約定書構成，解釋應探求契約當事人的真意，如有疑義以作有利於被保險人的解釋為原則。
2. 名詞定義：
    - 單位日額：新臺幣五千元，減額繳清保險單位日額以減額繳清保險單位日額為準。
    - 年繳保險費總和：保單年度數乘以最近一次繳交之保險費所適用之本契約保險費費率（以本契約未扣除折扣之費率為準）所計得之金額。
    - 保單年度數：給付祝壽保險金、身故保險金或喪葬費用保險金，係指自本契約生效日起至被保險人身故或本契約繳費期間屆滿時，二者較早屆至者所經過之週年數，未滿一週年者，以一週年計。
    - 最近一次繳交之保險費：要保人於被保險人身故、無理賠紀錄期間屆滿或本契約繳費期間屆滿前最近一次繳交之保險費。
    - 繳費期間：保險單首頁所載本契約之繳費年限。
    - 所繳保險費加計利息：以所繳保險費為基礎，以2.00%之年利率，依據滿保單年度部分以年複利，而未滿保單年度部分則以日單利方式，逐期加計利息，計算至被保險人身故日止之金額。

=== 文章 243 摘要結束 ===
