=== 文章 257 摘要開始 ===

南山人壽享添鑽利率變動型終身保險（定期給付型）_STL6 保險條款重點如下：

- 累計增額繳清保險基本保額對應部分，會以保險期間屆滿當時的當年度保險金額加上累計增額繳清保險基本保額的百分之七總和，或躉繳保險費的一點零一倍中較高的金額來計算。

- 滿期保險金申領時，應檢具保險單或其謄本、保險金申請書和受益人的身分證明。

- 身故保險金或喪葬費用保險金的給付，會以被保險人身故當時，分別以基本保額和累計增額繳清保險基本保額對應下列三者中之最大值，再依其總和計算：
    - 當年度保險金額
    - 保單價值準備金乘以當年度保障係數
    - 躉繳保險費的一點零一倍

- 民國九十九年二月三日（含）以後所投保之喪葬費用保險金額總和（不限本公司），不得超過遺產及贈與稅法第十七條有關遺產稅喪葬費扣除額之半數，超過部分本公司不負給付責任，並應無息退還該超過部分之已繳保險費。

- 本公司依本條約定給付身故保險金或喪葬費用保險金後，本契約效力即行終止。但若要保人有指定分期方式給付身故保險金，改依第二十一條第一項約定辦理。

=== 文章 257 摘要結束 ===
