=== 文章 282 摘要開始 ===

南山人壽佳多保利率變動型終身保險（定期給付型）_BTPL 契約條款說明：

* 保險責任開始：自同意承保並收取第一期保險費或躉繳保險費後，負保險責任，並發給保險單。
* 契約撤銷權：要保人於保險單送達的翌日起算十日內，得以書面或其他約定方式檢同保險單向本公司撤銷本契約。
* 保險費交付：分期繳納的第二期以後保險費，應照本契約所載交付方法及日期，向本公司所在地或指定地點交付，或由本公司派員前往收取。
* 寬限期間：分期繳納的第二期以後保險費到期未交付時，年繳或半年繳者，自催告到達翌日起三十日內為寬限期間；月繳或季繳者，則不另為催告，自保險單所載交付日期之翌日起三十日為寬限期間。
* 契約效力停止：逾寬限期間仍未交付者，本契約自寬限期間終了翌日起停止效力。
* 保險費墊繳：要保人得於要保書或繳費寬限期間終了前以書面或其他約定方式聲明，第二期以後的分期保險費於超過寬限期間仍未交付者，本公司應以本契約及附加於本契約之所有附約當時的保單價值準備金合併計算之總和（如有保險單借款者，以扣除其借款本息後的餘額）同時自動墊繳本契約及附加於本契約之所有附約、附加條款、批註條款其應繳的保險費及利息，使本契約繼續有效。
* 契約效力恢復：本契約停止效力後，要保人得在停效日起二年內，申請復效。
* 告知義務：要保人在訂立本契約時，對於本公司要保書書面詢問的告知事項應據實說明，如有為隱匿或遺漏不為說明，或為不實的說明，足以變更或減少本公司對於危險的估計者，本公司得解除契約。
* 契約終止：於本契約「保障期間」內，要保人得隨時終止本契約。

=== 文章 282 摘要結束 ===
