=== 文章 301 摘要開始 ===

南山人壽豐盈保倍美元利率變動型終身壽險（定期給付型）_BYUPL7條款說明：

**分期定期保險金給付：**
- 分期定期保險金預定利率計算，一次貼現給付予受益人之法定繼承人。
- 受益人為多數時，部分受益人在分期定期保險金給付期間死亡時，其他受益人部分之契約效力不受影響。
- 以上約定於受益人於分期定期保險金給付期間內失蹤，並經法院宣告死亡之情形，亦適用之。

**增值回饋分享金給付：**
- 保單週年日且被保險人仍生存時，依要保人投保時所選擇的方式給付「增值回饋分享金」。
- 三種方式：
    - 購買增額繳清保險基本保額
    - 購買增額保險
    - 儲存生息

**滿期保險金給付：**
- 被保險人「保險年齡」達九十九歲之保單年度末仍生存，且本公司未依第二十一條、第二十三條給付「完全失能保險金」或分期定期保險金而本契約仍有效時，視同本契約保險期間屆滿，並分別以下列二款計算所得之金額，再依其總和給付「滿期保險金」。

**滿期保險金申領：**
- 受益人申領「滿期保險金」時，應檢具下列文件：
    - 保險單或其謄本
    - 保險金申請書
    - 受益人的身分證明

**身故保險金或喪葬費用保險金給付：**
- 被保險人於本契約有效期間內身故時，依要保人指定方式計算「身故保險金」給付予受益人。
- 計算方式：分別以「基本保額」及「累計增額繳清保險基本保額」對應下列三者中之最大值，再依其總和之金額，另加計身故當時有效之「一年期定期壽險保險金額」，計算「身故保險金」。

**其他：**
- 本公司於給付「身故保險金」或喪葬費用保險金、「完全失能保險金」或「滿期保險金」時，本契約如有儲存生息之金額者，一次給付予該保險金受益人。
- 要保人得於本契約「保障期間」內，以書面通知本公司變更第一項之給付方式，但不得變更為購買增額保險。
- 自第七保單年度起，要保人如未選擇「增值回饋分享金」之給付方式，除第二項約定外，本公司以購買增額保險方式辦理。

=== 文章 301 摘要結束 ===
