=== 文章 321 摘要開始 ===

## 保險契約條款摘要

**告知義務與解除契約**

* 要保人及被保險人應據實告知保險公司要保書上的資訊。
* 若隱匿、遺漏或不實告知，足以影響保險公司對於危險的估計，保險公司可解除契約。
* 解除契約權自保險公司知悉解除原因後，一個月不行使而消滅；或自契約訂立後，經過二年不行使而消滅。

**終止契約**

* 要保人可隨時終止契約。
* 終止契約自保險公司收到要保人書面通知時生效。
* 若要保人已繳足一年以上保險費或累積有保單價值準備金，保險公司應於接到通知後一個月內償付解約金。

**增值回饋分享金**

* 保險公司根據要保人選擇的方式給付增值回饋分享金，可選擇：
    * 抵繳應繳保險費
    * 以繳清保險方式增加保險金額
    * 現金給付
    * 儲存生息
* 增值回饋分享金選擇以儲存生息方式給付者，於給付保險金時，一併將累積之增值回饋分享金給付予受益人。
* 被保險人於十六歲前身故或完全失能，保險公司應退還或給付累積之增值回饋分享金。
* 要保人可變更增值回饋分享金給付方式，未選擇者，將以繳清保險方式增加保險金額。
* 保險公司應於每保單年度屆滿時通知要保人增值回饋分享金金額。
* 保險公司依告知義務條款解除契約時，不負給付增值回饋分享金之責任。

**保險事故通知與保險金申請**

* 要保人或受益人應於知悉保險公司應負保險責任之事故後十日內通知保險公司，並於通知後儘速檢具所需文件申請給付保險金。

=== 文章 321 摘要結束 ===
