=== 文章 34 摘要開始 ===

南山人壽豐盈滿山美元利率變動型終身壽險（定期給付型）_BYUPL6 條款說明：

**保單價值準備金與展期定期保險**

* 要保人可選擇用保單價值準備金購買展期定期保險，以維持原保險金額，展期期間依附表決定，但不得超過原契約滿期日。
* 若保單價值準備金扣除營業費用後超過展期定期保險至滿期日所需的躉繳保險費，要保人可以多餘款項購買繳清生存保險。
* 變更為展期定期保險後，不再適用「當年度保險金額」，喪失增值回饋分享金和滿期保險金的權利。

**匯款相關費用**

* 匯款相關費用由匯款人負擔，除非因本公司錯誤造成。
* 要保人或受益人若使用本公司指定銀行以外的匯款帳戶，所有匯款費用由本公司負擔。

**保險單借款**

* 要保人可申請保險單借款，金額上限為借款當日保單價值準備金的一定百分比，比例依附表四決定。
* 未償還的借款本息超過保單價值準備金，契約效力即停止。

**投保年齡計算**

* 投保年齡以足歲計算，未滿一歲且零數超過六個月者，加算一歲。
* 投保年齡錯誤，依不同情況辦理，可能無效、退費或調整保險金額。

**受益人指定**

* 要保人可指定受益人，但完全失能保險金的受益人為被保險人本人。
* 受益人變更需經被保險人同意，並提交申請書。

**其他**

* 本保險為不分紅保單。
* 變更住所需通知本公司。
* 權利請求時效為兩年。
* 契約變更需經要保人與本公司雙方書面同意。
* 訴訟管轄法院為要保人住所地地方法院或本公司總公司所在地地方法院。

=== 文章 34 摘要結束 ===
