=== 文章 379 摘要開始 ===

南山人壽佳多保利率變動型終身保險（定期給付型）_BTPL

**保障內容**：
- 提供身故保險金或喪葬費用保險金、完全失能保險金、滿期保險金等保障。
- 保險年齡未滿十六歲者，增值回饋分享金採抵繳應繳保險費方式辦理，若無法抵繳則採儲存生息方式辦理。
- 給付身故保險金或喪葬費用保險金、完全失能保險金或滿期保險金時，若有儲存生息金額，則一次給付予受益人。
- 要保人得於保障期間內變更給付方式。

**滿期保險金**：
- 被保險人於保險年齡達九十九歲之保單年度末仍生存且契約有效時，給付滿期保險金。
- 滿期保險金計算方式依基本保額及累計增額繳清保險基本保額對應部分計算。

**身故保險金或喪葬費用保險金**：
- 被保險人於契約有效期間內身故時，給付身故保險金或喪葬費用保險金。
- 身故保險金計算方式依基本保額及累計增額繳清保險基本保額對應部分計算。
- 若契約變更為展期定期保險，則依展期定期保險金額計算身故保險金。

**繳費方式**：
- 分期繳費者，若被保險人於繳費期間內身故，本公司將依其身故當時的狀態，按下列方式計算給付身故保險金或喪葬費用保險金。

=== 文章 379 摘要結束 ===
