=== 文章 397 摘要開始 ===

南山人壽樂活洋溢醫療終身保險_TPHI5 的條款說明如下：
* 保險金給付：
    * 同一疾病或傷害，於出院後十四日內於同一醫院再次住院時，其各種保險金給付合計額，視為一次住院辦理。
    * 若被保險人於本契約有效期間屆滿後出院，再次住院部分不予給付保險金。
    * 住院診療期間超過本契約有效期間，依下列約定給付保險金：
        * 住院期間已逾三百六十五日（含）者，於本契約有效期間屆滿後不再給付保險金。
        * 住院期間未達三百六十五日者，依第九條之約定給付保險金至被保險人出院為止，但最高以三百六十五日計算。
* 保險金給付限制：
    * 本公司給付各項保險金，其累計最高總給付金額以「單位日額」之五千倍為限。
    * 要保人辦理「減額繳清保險」時，累計已給付之各項保險金將等比例減少。
* 除外責任：
    * 要保人故意致被保險人於死。
    * 被保險人故意自殺，但自契約訂立或復效之日起二年後故意自殺致死者，本公司仍負給付「身故保險金」或喪葬費用保險金之責任。
    * 被保險人因犯罪處死或拒捕或越獄致死。
    * 被保險人之故意行為（包括自殺及自殺未遂）、犯罪行為、非法施用毒品。
    * 被保險人因美容手術、外科整型、外觀可見之天生畸形、健康檢查、療養、靜養、戒毒、戒酒、護理或養老之非以直接診治病人為目的者、懷孕、流產或分娩及其併發症（部分情形除外）等原因所致之疾病或傷害而發生住院等情形。
* 受益人受益權之喪失：
    * 受益人故意致被保險人於死或雖未致死者，喪失其受益權。
* 告知義務與本契約的解除：
    * 要保人在訂立本契約時，對本公司要保書書面詢問的告知事項應據實說明，如有為隱匿或遺漏不為說明，或為不實的說明，足以變更或減少本公司對於危險的估計者，本公司得解除本契約。
* 契約的終止：
    * 要保人得隨時終止本契約。
    * 被保險人保險年齡達九十九歲之保單年度末。
    * 被保險人身故日。
    * 本公司依第十八條計算所累計之總給付金額達上限時。
* 減額繳清保險：
    * 要保人繳足保險費累積達有保單價值準備金時，要保人得以當時保單價值準備金扣除營業費用後的數額作為一次繳清的躉繳保險費，向本公司申請改保同類保險的「減額繳清保險」。

=== 文章 397 摘要結束 ===
