=== 文章 403 摘要開始 ===

**增值回饋分享金**

- 第一年度：宣告利率減去預定利率之差值，乘以當年度壽險部分期中保單價值準備金。
- 第二年起：前一年度宣告利率減去預定利率之差值，乘以當年度壽險部分期中保單價值準備金。
- 給付方式：
    - 第一年至第六年：購買壽險部分增額繳清保險或抵繳應繳保險費。
    - 第七年起：購買壽險部分增額繳清保險、儲存生息或現金給付。
- 未選擇給付方式者，以購買壽險部分增額繳清保險方式辦理。
- 被保險人未滿十六歲，僅得採抵繳應繳保險費，滿十六歲後改採儲存生息方式辦理。
- 每個保單週年日通知要保人增值回饋分享金計算結果。

**身故保險金或喪葬費用保險金**

- 計算方式：基本保險金額及累計增加保險金額各自計算後加總。
- 基本保險金額計算：身故時之基本保險金額對應之保單價值準備金乘以保障係數、當年度保險金額、保險費總和三者取最大值。
- 累計增加保險金額計算：身故時之累計增加保險金額對應之保單價值準備金乘以保障係數、當年度保險金額、保險費總和三者取最大值。
- 未滿十五歲之被保險人，身故保險金變更為喪葬費用保險金。
- 民國九十九年二月三日(不含)前訂立之保險契約，喪葬費用保險金給付依相關規定辦理。
- 民國一百零九年六月十二日（含）以後，喪葬費用保險金額總和不得超過遺產及贈與稅法第十七條有關遺產稅喪葬費扣除額之半數。
- 身故保險金或喪葬費用保險金給付後，本契約效力即行終止。

**完全失能保險金**

- 計算方式：基本保險金額及累計增加保險金額各自計算後加總。
- 基本保險金額計算：完全失能確定時之基本保險金額對應之保單價值準備金乘以保障係數、當年度保險金額、保險費總和三者取最大值。
- 累計增加保險金額計算：完全失能確定時之累計增加保險金額對應之保單價值準備金乘以保障係數、當年度保險金額、保險費總和三者取最大值。

**其他**

- 銷售日期：113年2月26日（民國102年2月26日）

=== 文章 403 摘要結束 ===
