=== 文章 416 摘要開始 ===

本公司對於不同保險金的申領有不同的文件要求，並且根據不同的保險金給付方式，有不同的給付期限及未依期限給付之效果。

**分期定期保險金給付:**
- 受益人每年申領時，應提出可資證明受益人生存之文件。
- 受益人身故後，其法定繼承人申領給付時，應檢具保險單或其謄本、受益人的死亡證明文件、受益人之法定繼承人的身分證明。
- 本公司應於收齊各該申領文件後十五日內給付。
- 因可歸責於本公司之事由致逾應給付日未給付時，應給付遲延利息年利一分。

**身故保險金或喪葬費用保險金的申領:**
- 受益人申領時應檢具保險單或其謄本、被保險人死亡證明書及除戶戶籍謄本、保險金申請書、受益人的身分證明。

**完全失能保險金的申領:**
- 受益人申領時應檢具保險單或其謄本、失能診斷書、保險金申請書、受益人的身分證明。
- 本公司基於審核保險金之需要，得對被保險人的身體予以檢驗，另得徵詢其他醫師之醫學專業意見，並得經受益人同意調閱被保險人之就醫相關資料。

**生存保險金的申領:**
- 受益人申領時應檢具保險單或其謄本、保險金申請書、受益人的身分證明。

**二至六級失能豁免保險費的申領:**
- 要保人應檢具保險單或其謄本、失能診斷書、保險金申請書、要保人及被保險人的身分證明。
- 本公司基於審核保險金之需要，得對被保險人的身體予以檢驗，另得徵詢其他醫師之醫學專業意見，並得經被保險人同意調閱被保險人之就醫相關資料。

**祝壽保險金的申領:**
- 受益人申領時應檢具保險單或其謄本、保險金申請書、受益人的身分證明。

**除外責任:**
- 本公司不負給付身故保險金或喪葬費用保險金、完全失能保險金的責任，適用於特定情況，例如被保險人因自殺身故等。

=== 文章 416 摘要結束 ===
