=== 文章 422 摘要開始 ===

南山人壽添多利利率變動型增額終身保險（定期給付型）_2BTL條款說明：

**第二十三條 分期定期保險金給付**
- 根據分期定期保險金給付期間、分期定期保險金給付週期以及預定利率，將指定保險金換算成每期期初應給付之金額，按約定給付。
- 分期定期給付期間屆滿時，本契約即行終止。
- 身故保險金或大眾運輸意外身故保險金扣除各受益人之指定保險金後，應將餘額給付予各受益人。
- 完全失能保險金扣除被保險人之指定保險金後，應將餘額給付予被保險人。

**第二十四條 分期定期保險金給付申領文件、給付期限及未依限給付之效果**
- 受益人每年第一次申領分期定期保險金時，應提出可資證明受益人生存之文件。
- 受益人身故後仍有尚未領取的分期定期保險金，其法定繼承人申領給付時，應檢具保險單或其謄本、受益人的死亡證明文件、受益人之法定繼承人的身分證明。
- 受益人第一次申領分期定期保險金或其法定繼承人申領尚未領取之分期定期保險金時，本公司應於收齊各該申領文件後十五日內給付之。
- 受益人申領第二次(含)以後之分期定期保險金時，本公司應於約定之給付日給付之。
- 因可歸責於本公司之事由致逾應給付日未給付時，應給付遲延利息年利一分。

**第二十五條 除外責任**
- 本公司不負給付身故保險金或喪葬費用保險金及完全失能保險金的責任，若要保人故意致被保險人於死、被保險人故意自殺或自成完全失能、被保險人因犯罪處死或拒捕或越獄致死或完全失能等情況發生。
- 被保險人因要保人、被保險人的故意行為、被保險人犯罪行為、被保險人飲酒後駕（騎）車、戰爭（不論宣戰與否）、內亂及其他類似的武裝變亂、因原子或核子能裝置所引起的爆炸、灼熱、輻射或污染等原因致成身故時，本公司不負給付大眾運輸意外身故保險金或喪葬費用保險金的責任。
- 因要保人、被保險人的故意行為及被保險人因犯罪處死或拒捕或越獄致死或完全失能等情況發生，本公司按約定給付完全失能保險金。

**第二十六條 受益人之受益權**
- 受益人故意致被保險人於死或雖未致死者，喪失其受益權。
- 若因受益人喪失受益權而致無受益人受領身故保險金、大眾運輸意外身故保險金或喪葬費用保險金時，其保險金作為被保險人遺產。
- 如有其他受益人者，喪失受益權之受益人原應得之部分，按其他受益人原約定比例分歸其他受益人。

**第二十七條 欠繳保險費或未還款項的扣除**
- 本公司給付各項保險金、增值回饋分享金、解約金、返還保單價值準備金或退還已繳保險費時，如要保人有欠繳保險費（包括經本公司墊繳的保險費）或保險單借款未還清者，本公司得先抵銷上述欠款及扣除其應付利息後給付其餘額。

**第二十八條 減少基本保額及累計增額繳清保險基本保額**
- 要保人在本契約「保障期間」內，得申請減少「基本保額」及「累計增額繳清保險基本保額」，本公司應按下列順序依序減去，但是減額後的「基本保額」，不得低於本保險最低承保金額，其減少部分依第九條契約終止之約定處理。

**第二十九條 減額繳清保險**
- 要保人繳足保險費累積達有保單價值準備金時，要保人得以當時「基本保額」對應之保單價值準備金扣除營業費用後的數額作為一次繳清的躉繳保險費，向本公司申請改保同類保險的「減額繳清保險」。
- 要保人選擇改為「減額繳清保險」當時，倘有增值回饋分享金、保險單借款或欠繳、墊繳保險費的情形，本公司將以當時「基本保額」對應之保單價值準備金加上本公司應給付的增值回饋分享金扣除欠繳保險費或借款本息或墊繳保險費本息及營業費用後的淨額辦理。

**第三十條 展期定期保險**
- 要保人繳足保險費累積達有保單價值準備金時，要保人得以當時保單價值準備金扣除營業費用後的數額作為一次繳清的躉繳保險費，向本公司申請改為「展期定期保險」。
- 要保人不必再繼續繳保險費，其「基本保額」對應之展延期間如展期定期保險金額暨展延期間附表，但不得超過原契約的滿期日。

=== 文章 422 摘要結束 ===
