=== 文章 426 摘要開始 ===

南山人壽佳多保利率變動型終身保險（定期給付型）_BTPL 契約條款重點：

* 解約金：要保人保險費已付足達一年以上或繳費累積達有保單價值準備金而終止契約時，本公司應於接到通知後一個月內償付解約金。逾期本公司應加計利息給付，其利息按年利率一分計算。
* 分期定期保險金給付：每期給付之分期定期保險金低於一定金額者，本公司將一次給付指定保險金予本契約受益人，分期定期給付之約定即行終止。
* 保險事故通知：要保人或受益人應於知悉本公司應負保險責任之事故後十日內通知本公司，並於通知後儘速檢具所需文件向本公司申請給付保險金。本公司應於收齊前項文件後十五日內給付之。
* 失蹤處理：被保險人在本契約有效期間內失蹤者，如經法院宣告死亡時，本公司根據判決內所確定死亡時日為準，依約定給付「身故保險金」或喪葬費用保險金。
* 受益人死亡或失蹤：受益人在分期定期保險金給付期間內死亡者，尚未領取的分期定期保險金以第二條定義之分期定期保險金預定利率計算，一次貼現給付予受益人之法定繼承人。
* 增值回饋分享金：於本契約「保障期間」內之每一保單週年日且被保險人仍生存時，本公司依要保人於投保時所選擇下列其中一種方式，給付「增值回饋分享金」：
    * 購買增額繳清保險基本保額
    * 儲存生息
* 滿期保險金：被保險人「保險年齡」達九十九歲之保單年度末仍生存，且本公司未依第十九條、第二十三條給付「完全失能保險金」或分期定期保險金而本契約仍有效時，本公司將視同本契約保險期間屆滿，並分別以下列二款計算所得之金額，再依其總和給付「滿期保險金」，本契約效力即行終止。
* 身故保險金或喪葬費用保險金：被保險人於本契約有效期間內身故時，如要保人指定一次性給付「身故保險金」，本公司按下列方式計算之「身故保險金」給付予受益人。

=== 文章 426 摘要結束 ===
