=== 文章 465 摘要開始 ===

**保險責任的開始及交付保險費**
- 自同意承保並收取第一期保險費後負保險責任。
- 同意承保前預收相當於第一期保險費之金額時，保險責任以同意承保時溯自預收金額時開始。
- 交付保險費時應存入或匯入公司指定銀行之外匯存款帳戶，匯款相關費用依第四條約定辦理。

**契約撤銷權**
- 要保人於保險單送達的翌日起算十日內，得以書面或其他約定方式撤銷本契約。
- 撤銷權效力應自意思表示到達翌日零時起生效，契約自始無效。
- 公司應無息退還已繳保險費，撤銷生效後所發生的保險事故，公司不負責任。
- 撤銷生效前發生保險事故者，視為未撤銷，公司仍依契約規定負責任。

**第二期以後保險費的交付、寬限期間及契約效力的停止**
- 分期繳納的第二期以後保險費，應存入或匯入公司指定銀行之外匯存款帳戶繳付。
- 到期未交付時，年繳或半年繳者，自催告到達翌日起三十日內為寬限期間；月繳或季繳者，自保險單所載交付日期之翌日起三十日為寬限期間。
- 逾寬限期間仍未交付者，契約自寬限期間終了翌日起停止效力。
- 寬限期間內發生保險事故時，公司仍負責任。

**保險費的墊繳及契約效力的停止**
- 要保人得於要保書或繳費寬限期間終了前以書面聲明，公司應以保單價值準備金自動墊繳其應繳的保險費及利息，使契約繼續有效。
- 墊繳保險費的利息，自寬限期間終了的翌日起，按當時保險單借款的利率計算。
- 保單價值準備金之餘額不足墊繳一日的保險費且經催告後屆三十日仍不交付時，契約效力停止。

**本契約效力的恢復**
- 契約停止效力後，要保人得在停效日起二年內，申請復效。
- 停效日起六個月內提出復效申請，並清償保險費扣除停效期間的危險保險費後之餘額，自翌日上午零時起，恢復其效力。
- 停效日起六個月後提出復效申請，公司得要求要保人提供被保險人之可保證明。
- 被保險人之危險程度有重大變更已達拒絕承保程度者，公司得拒絕其復效。
- 公司未於約定期限內要求要保人提供可保證明，或於收齊可保證明後十五日內不為拒絕者，視為同意復效。
- 公司已依要保人最後留於公司的聯絡資料發出通知，視為已完成通知。
- 第一項約定期限屆滿時，契約效力即行終止，公司應主動退還剩餘之保單價值準備金。

**告知義務與本契約的解除**
- 要保人及被保險人在訂立契約時，對於公司要保書書面詢問的告知事項應據實說明。
- 有隱匿或遺漏不為說明，或為不實的說明，足以變更或減少公司對於危險的估計者，公司得解除契約。
- 解除契約權，自公司知有解除之原因後，經過一個月不行使而消滅；或自契約訂立後，經過二年不行使而消滅。

**契約的終止**
- 要保人得隨時終止契約。
- 契約之終止，自公司收到要保人書面通知時，開始生效。
- 要保人保險費已付足達一年以上或繳費累積達有保單價值準備金而終止契約時，公司應於接到通知後一個月內償付解約金。

**增值回饋分享金的給付及通知**
- 依要保人申請投保時，所選擇之方式給付增值回饋分享金。
- 增值回饋分享金選擇以儲存生息方式給付者，公司於給付「身故保險金」或「喪葬費用保險金」、「完全失能保險金」、「祝壽保險金」時，一併將當時已累積之增值回饋分享金給付予該保險金受益人。

=== 文章 465 摘要結束 ===
