=== 文章 483 摘要開始 ===

南山人壽佳多保利率變動型終身保險（定期給付型）_BTPL 

條款內容包含：
- 備金與解約金之差額，兩者較小者為限
- 展期定期保險
    - 可申請展期定期保險，保險金額為申請當時分別以「基本保額」及「累計增額繳清保險基本保額」對應下列三者中之最大值之總和，扣除保險單借款本息或墊繳保險費本息後之餘額：
        - 「當年度保險金額」。
        - 保單價值準備金乘以「當年度保障係數」。
        - 「年繳保險費總和」。
    - 不必再繼續繳保險費，其「基本保額」對應之展延期間如展期定期保險金額暨展延期間附表，但不得超過原契約的滿期日。
    - 可購買於本契約繳費期滿時給付的「繳清生存保險」，其「基本保額」對應之保險金額如展期定期保險金額暨展延期間附表。
- 保險單借款及契約效力的停止
    - 可申請保險單借款，其可借金額上限為借款當日保單價值準備金的一定百分比，其比率請詳附表四，未償還之借款本息，超過其保單價值準備金時，本契約效力即行停止。
    - 本公司應於效力停止日之三十日前以書面通知要保人。
    - 本公司未依前項規定為通知時，於本公司以書面通知要保人返還借款本息之日起三十日內要保人未返還者，保險契約之效力自該三十日之次日起停止。
- 不分紅保單
    - 本保險為不分紅保單，不參加紅利分配，並無紅利給付項目。
- 投保年齡的計算及錯誤的處理
    - 要保人在申請投保時，應將被保險人出生年月日在要保書填明。被保險人的投保年齡，以足歲計算，但未滿一歲的零數超過六個月者，加算一歲。
    - 被保險人的投保年齡發生錯誤時，就「基本保額」對應部分依下列規定辦理；就「增值回饋分享金」對應部分，本公司重新計算依第十四條約定應給付之金額：
        - 真實投保年齡較本公司保險費率表所載最高年齡為大者，本契約無效，其已繳保險費無息退還要保人。
        - 因投保年齡的錯誤，而致溢繳保險費者，本公司無息退還溢繳部分的保險費。但在發生保險事故後始發覺且其錯誤發生在本公司者，本公司按原繳保險費率計算應繳保險費，並退還差額給要保人。


=== 文章 483 摘要結束 ===
