=== 文章 49 摘要開始 ===

南山人壽威美鑽美元利率變動型終身壽險（定期給付型）_SYUL

**完全失能保險金給付**

- 被保險人致成完全失能等級之一，要保人可選擇一次性或分期給付「完全失能保險金」。
- 「完全失能保險金」依「基本保額」、「累計增額繳清保險基本保額」及「一年期定期壽險保險金額」計算。
- 若被保險人符合多項完全失能等級，僅給付一款「完全失能保險金」。
- 給付「完全失能保險金」後，本契約效力終止，除非要保人選擇分期方式給付。

**完全失能保險金申領**

- 受益人申領「完全失能保險金」時應檢具保險單、失能診斷書、保險金申請書、受益人身分證明。
- 本公司得對被保險人身體予以檢驗、徵詢其他醫師之醫學專業意見、調閱被保險人之就醫相關資料。

**分期定期保險金給付**

- 本公司依分期定期保險金給付期間、分期定期保險金給付週期及預定利率將指定保險金換算成每期應給付之金額。
- 分期定期給付期間屆滿時，本契約終止。
- 若「身故保險金」或「完全失能保險金」扣除指定保險金後有餘額，應給付予受益人或被保險人。

**分期定期保險金給付申領文件、給付期限及未依限給付之效果**

- 受益人每年第一次申領分期定期保險金時，應提出可資證明受益人生存之文件。
- 受益人身故後仍有尚未領取的分期定期保險金，其法定繼承人申領給付時，應檢具相關文件。

=== 文章 49 摘要結束 ===
