=== 文章 520 摘要開始 ===

本文章為保險契約條款，主要內容為：

1. 喪葬費用保險金的給付：
- 109年6月12日後投保的喪葬費用保險金額，不得超過遺產稅喪葬費扣除額的半數，超過部分不負給付責任。
- 被保險人於民國99年2月3日前訂立的保險契約，喪葬費用保險金額應加計109年6月12日以後所投保的金額，總和不得超過遺產稅喪葬費扣除額的半數。
- 被保險人身故時，受益人可領取的喪葬費用保險金總和（不限本公司），不得超過遺產及贈與稅法第十七條有關遺產稅喪葬費扣除額之半數。
- 若要保人向二家以上保險公司投保，其投保的喪葬費用保險金額合計超過限額，則各公司應依其喪葬費用保險金額與扣除要保時間在先之保險公司應理賠之金額後所餘之限額比例分擔其責任。
- 本公司約定給付的喪葬費用保險金，按被保險人身故時日為基準，以臺灣銀行股份有限公司、第一商業銀行股份有限公司及合作金庫銀行股份有限公司的前一營業日收盤美元即期買入匯率之平均值為換算基礎，換算等值之新臺幣後，不得超過主管機關所訂定之喪葬費用額度上限。

2. 完全失能保險金的給付：
- 被保險人於本契約有效期間內致成附表二所列完全失能程度之一者，本公司按其完全失能確定時，分別以基本保險金額及累計增加保險金額為基礎各自計算完全失能保險金後，依其加總後之總和給付，且不退還當期已繳付之未到期保險費。
- 被保險人同時致成附表二所列二項以上完全失能程度者，本公司僅給付一項完全失能保險金。
- 本公司依本條約定給付完全失能保險金後，本契約效力即行終止。

3. 分期定額保險金給付：
- 自分期定額給付開始日起，本公司依約定於分期定額給付開始日與分期定額給付年度週年日給付分期定額保險金予受益人。

4. 祝壽保險金的給付：
- 被保險人於本契約有效且屆滿期日仍生存者，本公司分別以滿期日當時之基本保險金額及累計增加保險金額為基礎各自計算祝壽保險金後，依其加總後之總和給付。
- 本公司依本條約定給付祝壽保險金後，本契約效力即行終止。

5. 豁免保險費：
- 被保險人於本契約有效且在繳費期間內，初次因第二條約定之疾病或傷害，致成附表三所列第二級至第六級失能程度之一者，本公司自失能診斷確定日起，豁免本契約（不含附約、附加條款及批註條款）至繳費期間屆滿前之各期保險費，本契約繼續有效，但不退還當期已繳之未到期保險費。

6. 身故保險金或喪葬費用保險金的申領：
- 受益人申領身故保險金或喪葬費用保險金時，應檢具保險單或其謄本、被保險人死亡證明書及除戶戶籍謄本、保險金申請書、受益人的身分證明。

7. 完全失能保險金的申領：
- 受益人申領完全失能保險金時應檢具保險單或其謄本、失能診斷書、保險金申請書、受益人的身分證明。

8. 分期定額保險金給付申領文件、給付期限及未依限給付之效果：
- 受益人於分期定額保險金給付期間每年申領所約定之給付時，應提出可資證明受益人生存之文件。


=== 文章 520 摘要結束 ===
