=== 文章 522 摘要開始 ===

本條款內容主要與保險金的給付、通知、失蹤處理及保險給付方式相關。 

**增值回饋分享金給付方式**
- 儲存生息方式：於被保險人滿16歲時一次計算生效之增額繳清保險金額。
- 繳清保險方式增加保險金額：未選擇給付方式則以該方式辦理。

**保險事故的通知與保險金的申請時間**
- 要保人或受益人應於知悉保險事故後10日內通知保險公司，並於通知後儘速檢具文件申請保險金。
- 保險公司應於收齊文件後15日內給付。

**失蹤處理**
- 若被保險人在本契約有效期間內失蹤，經法院宣告死亡時，依判決確定死亡時日給付身故保險金或喪葬費用保險金。
- 若要保人或受益人能提出證明文件，足以證明被保險人極可能因意外傷害事故而死亡，則依意外傷害事故發生日給付身故保險金或喪葬費用保險金。

**保險給付**
- 身故保險金或喪葬費用保險金：被保險人身故時，以身故當時「基本保險金額」及「累計增加保險金額」對應三者之最大值，再依其總和給付身故保險金，且本契約效力即終止。
- 完全失能保險金：依契約約定給付。
- 滿期保險金：依契約約定給付。

**相關注意事項**
- 本條款中提及的民國九十九年二月三日，即為西元2010年2月3日。
- 民國一百零九年六月十二日，即為西元2020年6月12日。

=== 文章 522 摘要結束 ===
