=== 文章 524 摘要開始 ===

南山人壽豐盈保倍美元利率變動型終身壽險（定期給付型）_BYUPL7 條款說明：

1. **契約終止**：
   - 約定期限屆滿時，契約效力終止，應退還剩餘保單價值準備金及未滿期純保險費。
   - 要保人可隨時終止契約，應償付解約金及按日數比例退還未滿期純保險費。
   - 終止契約後，解約金額依解約金附表計算。
2. **告知義務**：
   - 要保人應據實說明告知事項，如有隱瞞或不實說明，本公司得解除契約。
   - 解除權自公司知悉原因後一個月或自契約訂立後二年消滅。
3. **分期定期保險金**：
   - 每期給付金額低於一定金額者，將一次給付保險金，分期定期給付約定終止。
   - 給付期間內，要保人不得變更或終止契約，且不得以契約為質向公司借款。
4. **保險事故通知**：
   - 要保人或受益人應於知悉事故後十日內通知公司，並於通知後儘速檢具文件申請保險金。
   - 公司應於收齊文件後十五日內給付，逾期應加計利息。
5. **失蹤處理**：
   - 被保險人失蹤經法院宣告死亡時，公司依判決確定死亡時日給付保險金。
   - 若有證明文件顯示被保險人極可能因意外事故死亡，公司應依意外事故發生日給付保險金。
   - 若被保險人失蹤後生還，要保人或受益人應將已領之保險金歸還公司。
6. **受益人死亡或失蹤**：
   - 受益人死亡時，尚未領取之分期定期保險金將依法給付第二順位受益人。

=== 文章 524 摘要結束 ===
