=== 文章 54 摘要開始 ===

南山人壽新多福保美元利率變動型終身保險（定期給付型）_BUPL5G 的條款說明，包含：

**分期定期保險金**

* 計算方式：以分期定期給付開始日之公告利率為準。
* 給付開始日：不得晚於受益人備齊文件之日起十五日。
* 給付期間：最短五年，最長三十年，可依契約變更。
* 給付週期：可為每年或每月，未選擇者以每年給付。

**貨幣單位與匯率風險**

* 保險費等各款項以美元為單位。
* 匯率變動可能產生匯兌收益或損失，由要保人及受益人承擔風險。

**各款項交付方式**

* 要保人或受益人需以「全額匯出」存入或匯入本公司指定之外匯存款戶。

**保險責任開始及交付保險費**

* 自同意承保並收取第一期保險費或躉繳保險費後開始。
* 預收保險費，保險責任自預收時開始。
* 同意承保前發生應予給付之保險事故，本公司仍負保險責任。

**契約撤銷權**

* 要保人於保險單送達翌日起算十日內得以書面或約定方式撤銷。
* 撤銷效力自意思表示到達翌日零時起生效。
* 本公司應無息退回保險費，但契約撤銷生效前發生保險事故，仍負保險責任。

**第二期以後保險費**

* 照契約所載交付方法及日期交付。
* 寬限期間：年繳或半年繳者為三十日，月繳或季繳者亦為三十日。
* 約定以金融機構轉帳者，未能依約受領時，應催告要保人交付。
* 逾寬限期間未交付，契約自寬限期間終了翌日起停止效力。
* 被保險人身故或失能，要保人毋需再繳分期保險費。

**保險費的墊繳**

* 要保人可聲明以保單價值準備金墊繳分期保險費。
* 每次墊繳應出具憑證，載明墊繳本息及保單價值準備金之餘額。
* 保單價值準備金不足墊繳一日保險費，契約效力停止。

**契約效力的恢復**

* 停止效力後二年內可申請復效，但保險期間屆滿後不得申請。
* 六個月內提出復效申請，需清償約定金額。
* 六個月後提出復效申請，本公司得要求提供可保證明。
* 被保險人之危險程度有重大變更已達拒絕承保程度者，本公司得拒絕復效。

=== 文章 54 摘要結束 ===
