=== 文章 573 摘要開始 ===

## 完全失能保險金申領

- 保險單或其謄本
- 失能診斷書（但要保人或被保險人為醫師時，不得為被保險人出具診斷書）
- 保險金申請書
- 受益人的身分證明

## 二至六級失能豁免保險費的申請

- 保險單或其謄本
- 失能診斷書（但要保人或被保險人為醫師時，不得為被保險人出具診斷書）
- 保險金申請書
- 要保人及被保險人的身分證明

## 祝壽保險金申領

- 保險單或其謄本
- 保險金申請書
- 受益人的身分證明

## 除外責任（一）

- 要保人故意致被保險人於死
- 被保險人故意自殺或自成完全失能（但自契約訂立或復效之日起二年後故意自殺致死者，本公司仍負給付「身故保險金」或「喪葬費用保險金」之責任）
- 被保險人因犯罪處死或拒捕或越獄致死或完全失能

## 除外責任（二）

- 被保險人之故意行為（包括自殺及自殺未遂）
- 被保險人之犯罪行為
- 被保險人非法施用防制毒品相關法令所稱之毒品

## 受益人之受益權

- 受益人故意致被保險人於死或雖未致死者，喪失其受益權
- 如因該受益人喪失受益權，而致無受益人受領保險金時，其保險金作為被保險人遺產。如有其他受益人者，喪失受益權之受益人原應得之部分，按其他受益人原約定比例分歸其他受益人。

=== 文章 573 摘要結束 ===
