=== 文章 581 摘要開始 ===

本文件為保險合約條款，內容說明各項保險金的給付條件及計算方式。

- 身故保險金的給付：
    - 被保險人於本合約有效期間內身故，依累計增加保險金額對應之保單價值準備金乘以保單價值準備金比率或年繳保險費總和的一點零六倍等金額給付。
    - 未滿十五足歲之被保險人死亡者，其身故保險金變更為喪葬費用保險金。
    - 被保險人於民國九十九年二月三日(不含)前訂立之保險合約，喪葬費用保險金之給付需符合遺產及贈與稅法第十七條有關遺產稅喪葬費扣除額之規定。
    - 被保險人於民國一百零九年六月十二日(含)以後所投保之喪葬費用保險金額，不得超過遺產及贈與稅法第十七條有關遺產稅喪葬費扣除額之半數。
    - 喪葬費用保險金給付金額以臺灣銀行股份有限公司、第一商業銀行股份有限公司及合作金庫銀行股份有限公司的前一營業日收盤美元即期買入匯率之平均值為換算基礎，換算等值之新臺幣後，不得超過主管機關所訂定之喪葬費用額度上限。

- 完全失能保險金的給付：
    - 被保險人於本合約有效期間內致成完全失能程度，依基本保險金額和累計增加保險金額對應之完全失能保險金給付。
    - 完全失能保險金的計算方式包含當年度保險金額、保單價值準備金乘以保單價值準備金比率、年繳保險費總和的一點零六倍等。
    - 被保險人同時或先後致成兩項以上之完全失能程度者，本公司僅給付一項「完全失能保險金」。

- 祝壽保險金的給付：
    - 被保險人於保險年齡達一百一十歲之保單週年日仍生存且本合約仍屬有效時，依基本保險金額和累計增加保險金額對應之祝壽保險金給付。
    - 祝壽保險金的計算方式包含當年度保險金額和年繳保險費總和的一點零六倍。

- 生命末期提前給付保險金：
    - 被保險人於本合約有效期間內，得因生命末期，向本公司申請一次生命末期提前給付保險金，本公司將在身故保險金範圍內，按被保險人所指定之比例，將該部分之身故保險金計算六個月貼現給付生命末期提前給付保險金。
    - 生命末期提前給付保險金的給付，應加計及扣除應繳保險費的現值、保險單借款的本息、欠繳保險費的本息、墊繳保險費的本息等金額。
    - 被保險人申請將身故保險金全部貼現作為生命末期提前給付保險金者，本公司於給付「生命末期提前給付保險金」後，本合約效力即行終止。

- 身故保險金或喪葬費用保險金的申領：
    - 本公司給付「身故保險金」或「喪葬費用保險金」後，本合約效力即行終止，不再負給付其餘保險金之責。

=== 文章 581 摘要結束 ===
