=== 文章 75 摘要開始 ===

安達人壽美美優美元利率變動型終身壽險提供身故保險金或喪葬費用保險金、完全失能保險金、特定傷病保險金、祝壽保險金、生命末期提前給付保險金等保障。

本保險為不分紅保險單，不參加紅利分配，並無紅利給付項目。

本保險單條款、附著之要保書、批註及其他約定書，均為本保險契約的構成部分。

本契約所用名詞定義如下：
- 壽險部分：係指第十六條、第十七條及第十九條之給付項目。
- 健康險部分：係指第十八條之給付項目。
- 基本保險金額：係指保險單首頁所載本保險契約之投保金額。
- 保險年齡：係指按投保時被保險人以足歲計算之年齡。
- 累計增加保險金額：係指就每一保單週年日依第十三條約定計算所得壽險部分增額繳清保險金額逐次累計之值。
- 當年度保險金額：係指「基本保險金額」或「累計增加保險金額」，分別按其對應之保單年度依下列方式計算所得之金額。
- 實際繳費年度數：係指本契約保險單首頁所載之繳費年限，或被保險人事故發生當時之保單年度。
- 年繳保險費總和：係指被保險人事故發生當時之保險金額，乘以本契約標準體之年繳保險費費率，再乘以要保人「實際繳費年度數」後所得之金額。
- 基本保險金額對應之保單價值準備金：係指「基本保險金額」對應壽險部分保單價值準備金與健康險部分保單價值準備金加總之值。
- 累計增加保險金額對應之保單價值準備金：係指「累計增加保險金額」對應壽險部分保單價值準備金。
- 保單價值準備金：係指「基本保險金額對應之保單價值準備金」與「累計增加保險金額對應之保單價值準備金」加總之值。
- 壽險部分期末保單價值準備金：係指每一保單年度屆滿當時之「基本保險金額」與「累計增加保險金額」分別計算該保單年度之期末壽險部分保單價值準備金加總之值。
- 基本保險金額對應之解約金：係指「基本保險金額」對應壽險部分解約金與健康險部分解約金加總之值。
- 解約金：係指「基本保險金額對應之解約金」與「累計增加保險金額對應之保單價值準備金」加總之值。
- 保單價值準備金比率：係指下列數值。
- 宣告利率：係指本公司於每月第一個營業日在本公司網站宣告，用以計算與累計增值回饋分享金之利率。
- 增值回饋分享金：係指本契約有效期間內，依本契約每一保單週年日，按前一保單年度始日當月之宣告利率減去本契約預定利率之差值，乘以前一保單年度「壽險部分期末保單價值準備金」後所得之金額。
- 匯款相關費用：係指包括匯款銀行所收取之匯出費用、收款銀行所收取之收款手續費及中間行所收取之轉匯費用。
- 疾病：係指被保險人自本契約生效日(或復效日)起所發生之疾病。
- 特定傷病：係指被保險人於本契約生效日起持續有效三十日(含)後或自復效日起，初次罹患並經醫院醫師診斷確定符合下列定義之一者。
- 傷害：係指被保險人於本契約有效期間內，遭受意外傷害事故，因而蒙受之傷害。
- 意外傷害事故：係指非由疾病引起之外來突發事故。
- 教學醫院：係指教學、研究、訓練設施經依法評鑑可供醫師或其他醫事人員接受訓練及醫事院、校學生臨床見習、實習之醫療機構。
- 專科醫師：係指經醫師考試及格完成專科醫師訓練，並經中央衛生主管機關甄審合格，領有專科醫師證書者，且非要保人或被保險人本人。
- 初次罹患：係指被保險人於本契約生效日前，從未經醫院醫師診斷確定罹患第二條約定之「特定傷病」，且於本契約生效日起持續有效三十日(含)後或自復效日起後，經醫院醫師診斷確定第一次罹患第二條約定之「特定傷病」者。
- 生命末期：係指被保險人因罹患疾病或意外傷害事故，經教學醫院專科醫師診斷，認定依目前醫療技術無法治癒且依據醫學及臨床經驗其平均存活期間在六個月以下者。
- 指定保險金：係指符合本契約身故保險金(不包括變更為喪葬費用保險金)申領條件時，以該保險金乘以要保書或另行批註約定各受益人得受領之比例後所得之金額。
- 分期定期保險金預定利率：係指本公司於分期定期給付開始日用以計算分期給付金額之利率。
- 分期定期給付開始日：係指要保人與本公司約定開始分期定期給付指定保險金之日。
- 分期定期保險金給付期間：係指依要保人與本公司約定之給付期間，該期間最短為五年，最長為二十年。

本契約保險費之收取及返還、各項保險金、增值回饋分享金及解約金之給付、保險單借款之支付及償還、保單價值準備金之返還、所繳保險費加計利息之退還及其他款項之收付皆以美元為貨幣單位。

中華民國 113.02.07 (西元 2024.02.07) 安達精字第 1130000020 號函備查

=== 文章 75 摘要結束 ===
